train start... 
steps: 2475, episodes: 100, mean episode reward: -1342.799, reward: -32.011, time: 5.142, TD error: 35.117, c_model: 17.792, actorQ: 1.276, a_model: 1.287
steps: 62475, episodes: 2500, mean episode reward: -1115.686, reward: -23.051, time: 5.332, TD error: 30.056, c_model: 15.406, actorQ: 2.814, a_model: 0.998
steps: 64975, episodes: 2600, mean episode reward: -1164.764, reward: -24.594, time: 5.241, TD error: 29.759, c_model: 15.261, actorQ: 2.875, a_model: 0.983
steps: 67475, episodes: 2700, mean episode reward: -1143.338, reward: -26.385, time: 5.244, TD error: 29.472, c_model: 15.121, actorQ: 2.935, a_model: 0.968
steps: 69975, episodes: 2800, mean episode reward: -1159.226, reward: -27.124, time: 5.244, TD error: 29.211, c_model: 14.994, actorQ: 2.995, a_model: 0.954
steps: 72475, episodes: 2900, mean episode reward: -1128.149, reward: -26.587, time: 5.244, TD error: 28.959, c_model: 14.872, actorQ: 3.054, a_model: 0.94
steps: 74975, episodes: 3000, mean episode reward: -1173.989, reward: -26.787, time: 5.246, TD error: 28.74, c_model: 14.765, actorQ: 3.112, a_model: 0.927
steps: 77475, episodes: 3100, mean episode reward: -1263.059, reward: -28.941, time: 5.291, TD error: 28.451, c_model: 14.624, actorQ: 3.185, a_model: 0.911
steps: 79975, episodes: 3200, mean episode reward: -1417.743, reward: -33.892, time: 5.28, TD error: 28.235, c_model: 14.519, actorQ: 3.242, a_model: 0.899
steps: 82475, episodes: 3300, mean episode reward: -1430.672, reward: -35.49, time: 5.232, TD error: 28.001, c_model: 14.404, actorQ: 3.298, a_model: 0.886
steps: 84975, episodes: 3400, mean episode reward: -1464.37, reward: -33.278, time: 5.221, TD error: 27.802, c_model: 14.307, actorQ: 3.355, a_model: 0.875
steps: 87475, episodes: 3500, mean episode reward: -1406.346, reward: -29.197, time: 5.249, TD error: 27.614, c_model: 14.215, actorQ: 3.41, a_model: 0.863
steps: 89975, episodes: 3600, mean episode reward: -1430.548, reward: -31.238, time: 5.202, TD error: 27.42, c_model: 14.12, actorQ: 3.466, a_model: 0.852
steps: 92475, episodes: 3700, mean episode reward: -1458.339, reward: -33.534, time: 5.281, TD error: 27.211, c_model: 14.017, actorQ: 3.536, a_model: 0.839
steps: 94975, episodes: 3800, mean episode reward: -1406.822, reward: -32.56, time: 5.262, TD error: 27.085, c_model: 13.956, actorQ: 3.591, a_model: 0.829
steps: 97475, episodes: 3900, mean episode reward: -1415.07, reward: -34.629, time: 5.274, TD error: 26.929, c_model: 13.88, actorQ: 3.646, a_model: 0.82
steps: 99975, episodes: 4000, mean episode reward: -1465.449, reward: -36.965, time: 5.237, TD error: 26.769, c_model: 13.801, actorQ: 3.701, a_model: 0.81
steps: 102475, episodes: 4100, mean episode reward: -1455.235, reward: -36.805, time: 5.244, TD error: 26.621, c_model: 13.728, actorQ: 3.756, a_model: 0.801
steps: 104975, episodes: 4200, mean episode reward: -1470.922, reward: -35.179, time: 5.264, TD error: 26.516, c_model: 13.677, actorQ: 3.81, a_model: 0.792
steps: 107475, episodes: 4300, mean episode reward: -1500.146, reward: -37.556, time: 5.307, TD error: 26.345, c_model: 13.593, actorQ: 3.878, a_model: 0.782
steps: 109975, episodes: 4400, mean episode reward: -1495.518, reward: -38.644, time: 5.247, TD error: 26.244, c_model: 13.543, actorQ: 3.933, a_model: 0.774
steps: 112475, episodes: 4500, mean episode reward: -1468.023, reward: -38.172, time: 5.232, TD error: 26.1, c_model: 13.472, actorQ: 3.987, a_model: 0.766
steps: 114975, episodes: 4600, mean episode reward: -1517.357, reward: -38.908, time: 5.294, TD error: 25.99, c_model: 13.417, actorQ: 4.04, a_model: 0.758
steps: 117475, episodes: 4700, mean episode reward: -1497.993, reward: -38.734, time: 5.233, TD error: 25.885, c_model: 13.366, actorQ: 4.094, a_model: 0.75
steps: 119975, episodes: 4800, mean episode reward: -1499.369, reward: -38.667, time: 5.239, TD error: 25.781, c_model: 13.314, actorQ: 4.148, a_model: 0.743
steps: 122475, episodes: 4900, mean episode reward: -1509.159, reward: -38.755, time: 5.279, TD error: 25.638, c_model: 13.243, actorQ: 4.214, a_model: 0.734
steps: 124975, episodes: 5000, mean episode reward: -1475.827, reward: -38.216, time: 5.215, TD error: 25.56, c_model: 13.204, actorQ: 4.267, a_model: 0.727
steps: 127475, episodes: 5100, mean episode reward: -1489.759, reward: -38.732, time: 5.209, TD error: 25.454, c_model: 13.151, actorQ: 4.321, a_model: 0.721
steps: 129975, episodes: 5200, mean episode reward: -1525.409, reward: -39.062, time: 5.212, TD error: 25.332, c_model: 13.09, actorQ: 4.373, a_model: 0.714
steps: 132475, episodes: 5300, mean episode reward: -1493.935, reward: -38.709, time: 5.224, TD error: 25.266, c_model: 13.057, actorQ: 4.426, a_model: 0.707
steps: 134975, episodes: 5400, mean episode reward: -1290.886, reward: -33.064, time: 5.256, TD error: 25.183, c_model: 13.015, actorQ: 4.479, a_model: 0.701
steps: 137475, episodes: 5500, mean episode reward: -1511.903, reward: -38.547, time: 5.298, TD error: 25.101, c_model: 12.974, actorQ: 4.544, a_model: 0.693
steps: 139975, episodes: 5600, mean episode reward: -1448.433, reward: -38.112, time: 5.22, TD error: 25.027, c_model: 12.936, actorQ: 4.597, a_model: 0.687
steps: 142475, episodes: 5700, mean episode reward: -1504.063, reward: -37.774, time: 5.239, TD error: 24.925, c_model: 12.885, actorQ: 4.649, a_model: 0.681
steps: 144975, episodes: 5800, mean episode reward: -1423.333, reward: -35.642, time: 5.343, TD error: 24.818, c_model: 12.831, actorQ: 4.701, a_model: 0.675
steps: 147475, episodes: 5900, mean episode reward: -1312.479, reward: -30.726, time: 5.249, TD error: 24.727, c_model: 12.785, actorQ: 4.753, a_model: 0.67
steps: 149975, episodes: 6000, mean episode reward: -1505.242, reward: -38.932, time: 5.416, TD error: 24.635, c_model: 12.738, actorQ: 4.805, a_model: 0.664
steps: 152475, episodes: 6100, mean episode reward: -1437.96, reward: -37.253, time: 5.314, TD error: 24.516, c_model: 12.677, actorQ: 4.87, a_model: 0.657
steps: 154975, episodes: 6200, mean episode reward: -1361.644, reward: -34.089, time: 5.244, TD error: 24.434, c_model: 12.635, actorQ: 4.922, a_model: 0.652
steps: 157475, episodes: 6300, mean episode reward: -1389.671, reward: -35.35, time: 5.278, TD error: 24.351, c_model: 12.592, actorQ: 4.973, a_model: 0.647
steps: 159975, episodes: 6400, mean episode reward: -1406.238, reward: -35.148, time: 5.25, TD error: 24.28, c_model: 12.556, actorQ: 5.025, a_model: 0.642
steps: 162475, episodes: 6500, mean episode reward: -1479.871, reward: -38.006, time: 5.275, TD error: 24.2, c_model: 12.514, actorQ: 5.076, a_model: 0.636
steps: 164975, episodes: 6600, mean episode reward: -1468.813, reward: -37.81, time: 5.276, TD error: 24.133, c_model: 12.479, actorQ: 5.128, a_model: 0.632
steps: 167475, episodes: 6700, mean episode reward: -1468.242, reward: -37.795, time: 5.297, TD error: 24.02, c_model: 12.421, actorQ: 5.192, a_model: 0.625
steps: 169975, episodes: 6800, mean episode reward: -1481.256, reward: -38.133, time: 5.264, TD error: 23.936, c_model: 12.377, actorQ: 5.243, a_model: 0.621
steps: 172475, episodes: 6900, mean episode reward: -1461.786, reward: -36.578, time: 5.255, TD error: 23.875, c_model: 12.345, actorQ: 5.294, a_model: 0.616
steps: 174975, episodes: 7000, mean episode reward: -1302.285, reward: -30.543, time: 5.207, TD error: 23.799, c_model: 12.305, actorQ: 5.345, a_model: 0.611
steps: 177475, episodes: 7100, mean episode reward: -1364.963, reward: -32.596, time: 5.226, TD error: 23.712, c_model: 12.26, actorQ: 5.396, a_model: 0.606
steps: 179975, episodes: 7200, mean episode reward: -1336.423, reward: -31.945, time: 5.259, TD error: 23.627, c_model: 12.216, actorQ: 5.447, a_model: 0.602
steps: 182475, episodes: 7300, mean episode reward: -1488.367, reward: -37.429, time: 5.282, TD error: 23.533, c_model: 12.166, actorQ: 5.511, a_model: 0.596
steps: 184975, episodes: 7400, mean episode reward: -1510.178, reward: -39.003, time: 5.224, TD error: 23.449, c_model: 12.122, actorQ: 5.562, a_model: 0.592
steps: 187475, episodes: 7500, mean episode reward: -1337.023, reward: -31.477, time: 5.27, TD error: 23.386, c_model: 12.089, actorQ: 5.613, a_model: 0.588
steps: 189975, episodes: 7600, mean episode reward: -1191.93, reward: -27.877, time: 5.217, TD error: 23.316, c_model: 12.052, actorQ: 5.664, a_model: 0.583
steps: 192475, episodes: 7700, mean episode reward: -1446.903, reward: -36.276, time: 5.227, TD error: 23.237, c_model: 12.01, actorQ: 5.714, a_model: 0.579
steps: 194975, episodes: 7800, mean episode reward: -1459.144, reward: -37.279, time: 5.237, TD error: 23.168, c_model: 11.973, actorQ: 5.765, a_model: 0.575
steps: 197475, episodes: 7900, mean episode reward: -1499.892, reward: -38.595, time: 5.292, TD error: 23.067, c_model: 11.92, actorQ: 5.828, a_model: 0.57
steps: 199975, episodes: 8000, mean episode reward: -1488.336, reward: -37.844, time: 5.214, TD error: 22.995, c_model: 11.882, actorQ: 5.879, a_model: 0.566
steps: 202475, episodes: 8100, mean episode reward: -1316.933, reward: -32.35, time: 5.285, TD error: 22.939, c_model: 11.851, actorQ: 5.93, a_model: 0.562
steps: 204975, episodes: 8200, mean episode reward: -1256.283, reward: -28.613, time: 5.841, TD error: 22.882, c_model: 11.82, actorQ: 5.98, a_model: 0.558
steps: 207475, episodes: 8300, mean episode reward: -1347.403, reward: -32.441, time: 5.661, TD error: 22.808, c_model: 11.78, actorQ: 6.031, a_model: 0.554
steps: 209975, episodes: 8400, mean episode reward: -1467.956, reward: -34.676, time: 5.218, TD error: 22.741, c_model: 11.744, actorQ: 6.082, a_model: 0.55
steps: 212475, episodes: 8500, mean episode reward: -1490.653, reward: -37.632, time: 5.274, TD error: 22.656, c_model: 11.698, actorQ: 6.145, a_model: 0.545
steps: 214975, episodes: 8600, mean episode reward: -1337.958, reward: -30.496, time: 5.21, TD error: 22.589, c_model: 11.662, actorQ: 6.195, a_model: 0.541
steps: 217475, episodes: 8700, mean episode reward: -1517.171, reward: -38.597, time: 5.233, TD error: 22.515, c_model: 11.623, actorQ: 6.246, a_model: 0.537
steps: 219975, episodes: 8800, mean episode reward: -1488.635, reward: -37.196, time: 5.228, TD error: 22.437, c_model: 11.581, actorQ: 6.296, a_model: 0.534
steps: 222475, episodes: 8900, mean episode reward: -1462.769, reward: -37.419, time: 5.218, TD error: 22.374, c_model: 11.547, actorQ: 6.347, a_model: 0.53
steps: 224975, episodes: 9000, mean episode reward: -1366.369, reward: -33.939, time: 5.248, TD error: 22.313, c_model: 11.513, actorQ: 6.397, a_model: 0.526
steps: 227475, episodes: 9100, mean episode reward: -1219.682, reward: -28.113, time: 5.306, TD error: 22.225, c_model: 11.466, actorQ: 6.46, a_model: 0.522
steps: 229975, episodes: 9200, mean episode reward: -1281.374, reward: -30.27, time: 5.248, TD error: 22.166, c_model: 11.434, actorQ: 6.511, a_model: 0.518
steps: 232475, episodes: 9300, mean episode reward: -1453.915, reward: -36.647, time: 5.71, TD error: 22.103, c_model: 11.4, actorQ: 6.562, a_model: 0.515
steps: 234975, episodes: 9400, mean episode reward: -1414.725, reward: -35.378, time: 5.264, TD error: 22.049, c_model: 11.37, actorQ: 6.612, a_model: 0.511
steps: 237475, episodes: 9500, mean episode reward: -1388.314, reward: -34.579, time: 5.246, TD error: 21.983, c_model: 11.334, actorQ: 6.663, a_model: 0.508
steps: 239975, episodes: 9600, mean episode reward: -1372.799, reward: -33.161, time: 5.24, TD error: 21.927, c_model: 11.303, actorQ: 6.714, a_model: 0.505
steps: 242475, episodes: 9700, mean episode reward: -1329.756, reward: -30.285, time: 5.288, TD error: 21.841, c_model: 11.257, actorQ: 6.777, a_model: 0.5
steps: 244975, episodes: 9800, mean episode reward: -1475.334, reward: -37.058, time: 5.202, TD error: 21.785, c_model: 11.226, actorQ: 6.828, a_model: 0.497
steps: 247475, episodes: 9900, mean episode reward: -1466.334, reward: -37.169, time: 5.227, TD error: 21.73, c_model: 11.195, actorQ: 6.879, a_model: 0.494
steps: 249975, episodes: 10000, mean episode reward: -1417.371, reward: -36.782, time: 5.228, TD error: 21.679, c_model: 11.167, actorQ: 6.93, a_model: 0.491
steps: 252475, episodes: 10100, mean episode reward: -1439.638, reward: -36.635, time: 5.275, TD error: 21.615, c_model: 11.132, actorQ: 6.981, a_model: 0.488
steps: 254975, episodes: 10200, mean episode reward: -1203.711, reward: -28.063, time: 5.2, TD error: 21.558, c_model: 11.101, actorQ: 7.032, a_model: 0.485
steps: 257475, episodes: 10300, mean episode reward: -1344.35, reward: -33.162, time: 5.285, TD error: 21.495, c_model: 11.066, actorQ: 7.096, a_model: 0.481
steps: 259975, episodes: 10400, mean episode reward: -1406.118, reward: -35.054, time: 5.44, TD error: 21.448, c_model: 11.04, actorQ: 7.147, a_model: 0.478
steps: 262475, episodes: 10500, mean episode reward: -1468.388, reward: -38.162, time: 5.244, TD error: 21.407, c_model: 11.016, actorQ: 7.198, a_model: 0.475
steps: 264975, episodes: 10600, mean episode reward: -1464.404, reward: -37.74, time: 5.25, TD error: 21.359, c_model: 10.989, actorQ: 7.25, a_model: 0.472
steps: 267475, episodes: 10700, mean episode reward: -1480.763, reward: -36.705, time: 5.255, TD error: 21.309, c_model: 10.961, actorQ: 7.301, a_model: 0.469
steps: 269975, episodes: 10800, mean episode reward: -1357.538, reward: -33.303, time: 5.258, TD error: 21.257, c_model: 10.932, actorQ: 7.352, a_model: 0.466
steps: 272475, episodes: 10900, mean episode reward: -1262.086, reward: -29.31, time: 5.239, TD error: 21.189, c_model: 10.895, actorQ: 7.417, a_model: 0.463
steps: 274975, episodes: 11000, mean episode reward: -1414.538, reward: -34.266, time: 5.221, TD error: 21.153, c_model: 10.874, actorQ: 7.468, a_model: 0.46
steps: 277475, episodes: 11100, mean episode reward: -1410.732, reward: -33.119, time: 5.25, TD error: 21.107, c_model: 10.849, actorQ: 7.52, a_model: 0.457
steps: 279975, episodes: 11200, mean episode reward: -1309.693, reward: -31.972, time: 5.197, TD error: 21.063, c_model: 10.824, actorQ: 7.572, a_model: 0.455
steps: 282475, episodes: 11300, mean episode reward: -1456.146, reward: -36.664, time: 5.239, TD error: 21.024, c_model: 10.802, actorQ: 7.623, a_model: 0.452
steps: 284975, episodes: 11400, mean episode reward: -1433.932, reward: -37.448, time: 5.268, TD error: 20.979, c_model: 10.777, actorQ: 7.675, a_model: 0.45
steps: 287475, episodes: 11500, mean episode reward: -1421.19, reward: -36.601, time: 5.266, TD error: 20.928, c_model: 10.748, actorQ: 7.74, a_model: 0.446
steps: 289975, episodes: 11600, mean episode reward: -1340.075, reward: -33.506, time: 5.204, TD error: 20.873, c_model: 10.719, actorQ: 7.792, a_model: 0.444
steps: 292475, episodes: 11700, mean episode reward: -1254.088, reward: -28.75, time: 5.247, TD error: 20.833, c_model: 10.697, actorQ: 7.844, a_model: 0.441
steps: 294975, episodes: 11800, mean episode reward: -1286.343, reward: -31.124, time: 5.258, TD error: 20.791, c_model: 10.673, actorQ: 7.897, a_model: 0.439
steps: 297475, episodes: 11900, mean episode reward: -1432.909, reward: -35.209, time: 5.202, TD error: 20.747, c_model: 10.648, actorQ: 7.949, a_model: 0.437
steps: 299975, episodes: 12000, mean episode reward: -1463.899, reward: -37.514, time: 5.219, TD error: 20.699, c_model: 10.622, actorQ: 8.001, a_model: 0.434
steps: 302475, episodes: 12100, mean episode reward: -1276.69, reward: -31.813, time: 5.254, TD error: 20.649, c_model: 10.594, actorQ: 8.067, a_model: 0.431
steps: 304975, episodes: 12200, mean episode reward: -1501.297, reward: -38.804, time: 5.304, TD error: 20.613, c_model: 10.574, actorQ: 8.119, a_model: 0.429
steps: 307475, episodes: 12300, mean episode reward: -1480.803, reward: -38.485, time: 5.602, TD error: 20.573, c_model: 10.552, actorQ: 8.172, a_model: 0.427
steps: 309975, episodes: 12400, mean episode reward: -1471.263, reward: -38.245, time: 5.63, TD error: 20.53, c_model: 10.529, actorQ: 8.225, a_model: 0.424
steps: 312475, episodes: 12500, mean episode reward: -1485.85, reward: -38.37, time: 5.254, TD error: 20.492, c_model: 10.508, actorQ: 8.278, a_model: 0.422
steps: 314975, episodes: 12600, mean episode reward: -1492.372, reward: -38.664, time: 5.38, TD error: 20.453, c_model: 10.486, actorQ: 8.331, a_model: 0.42
steps: 317475, episodes: 12700, mean episode reward: -1502.569, reward: -38.631, time: 5.328, TD error: 20.404, c_model: 10.46, actorQ: 8.397, a_model: 0.417
steps: 319975, episodes: 12800, mean episode reward: -1464.129, reward: -38.04, time: 5.234, TD error: 20.369, c_model: 10.44, actorQ: 8.45, a_model: 0.415
steps: 322475, episodes: 12900, mean episode reward: -1507.763, reward: -38.801, time: 5.223, TD error: 20.334, c_model: 10.42, actorQ: 8.503, a_model: 0.413
steps: 324975, episodes: 13000, mean episode reward: -1496.127, reward: -38.569, time: 5.257, TD error: 20.296, c_model: 10.4, actorQ: 8.556, a_model: 0.411
steps: 327475, episodes: 13100, mean episode reward: -1527.612, reward: -39.274, time: 5.396, TD error: 20.263, c_model: 10.381, actorQ: 8.609, a_model: 0.409
steps: 329975, episodes: 13200, mean episode reward: -1475.408, reward: -38.039, time: 5.238, TD error: 20.221, c_model: 10.359, actorQ: 8.661, a_model: 0.407
steps: 332475, episodes: 13300, mean episode reward: -1506.239, reward: -38.86, time: 5.28, TD error: 20.179, c_model: 10.336, actorQ: 8.725, a_model: 0.404
steps: 334975, episodes: 13400, mean episode reward: -1463.107, reward: -38.01, time: 5.246, TD error: 20.141, c_model: 10.316, actorQ: 8.775, a_model: 0.402
steps: 337475, episodes: 13500, mean episode reward: -1536.691, reward: -39.112, time: 5.235, TD error: 20.1, c_model: 10.294, actorQ: 8.826, a_model: 0.4
steps: 339975, episodes: 13600, mean episode reward: -1444.193, reward: -37.851, time: 5.218, TD error: 20.064, c_model: 10.274, actorQ: 8.877, a_model: 0.398
steps: 342475, episodes: 13700, mean episode reward: -1241.362, reward: -27.376, time: 5.284, TD error: 20.031, c_model: 10.256, actorQ: 8.928, a_model: 0.396
steps: 344975, episodes: 13800, mean episode reward: -824.854, reward: -13.375, time: 5.222, TD error: 19.987, c_model: 10.233, actorQ: 8.978, a_model: 0.394
steps: 347475, episodes: 13900, mean episode reward: -948.754, reward: -16.522, time: 5.278, TD error: 19.943, c_model: 10.21, actorQ: 9.038, a_model: 0.392
steps: 349975, episodes: 14000, mean episode reward: -943.89, reward: -16.859, time: 5.459, TD error: 19.91, c_model: 10.192, actorQ: 9.082, a_model: 0.39
steps: 352475, episodes: 14100, mean episode reward: -699.187, reward: -10.505, time: 5.761, TD error: 19.865, c_model: 10.167, actorQ: 9.12, a_model: 0.388
steps: 354975, episodes: 14200, mean episode reward: -1059.411, reward: -21.161, time: 5.421, TD error: 19.816, c_model: 10.141, actorQ: 9.16, a_model: 0.387
steps: 357475, episodes: 14300, mean episode reward: -1370.332, reward: -31.427, time: 5.213, TD error: 19.769, c_model: 10.116, actorQ: 9.202, a_model: 0.385
steps: 359975, episodes: 14400, mean episode reward: -1399.524, reward: -31.636, time: 5.253, TD error: 19.727, c_model: 10.092, actorQ: 9.244, a_model: 0.383
steps: 362475, episodes: 14500, mean episode reward: -1166.198, reward: -23.428, time: 5.267, TD error: 19.667, c_model: 10.06, actorQ: 9.299, a_model: 0.381
steps: 364975, episodes: 14600, mean episode reward: -806.398, reward: -13.479, time: 5.185, TD error: 19.624, c_model: 10.036, actorQ: 9.343, a_model: 0.379
steps: 367475, episodes: 14700, mean episode reward: -808.573, reward: -13.029, time: 5.211, TD error: 19.575, c_model: 10.01, actorQ: 9.385, a_model: 0.378
steps: 369975, episodes: 14800, mean episode reward: -1027.401, reward: -19.538, time: 5.23, TD error: 19.523, c_model: 9.983, actorQ: 9.43, a_model: 0.376
steps: 372475, episodes: 14900, mean episode reward: -1315.492, reward: -27.688, time: 5.245, TD error: 19.478, c_model: 9.959, actorQ: 9.475, a_model: 0.374
steps: 374975, episodes: 15000, mean episode reward: -1418.246, reward: -33.739, time: 5.241, TD error: 19.435, c_model: 9.936, actorQ: 9.52, a_model: 0.373
steps: 377475, episodes: 15100, mean episode reward: -1430.162, reward: -35.166, time: 5.288, TD error: 19.371, c_model: 9.903, actorQ: 9.576, a_model: 0.371
steps: 379975, episodes: 15200, mean episode reward: -1435.234, reward: -33.486, time: 5.249, TD error: 19.321, c_model: 9.876, actorQ: 9.622, a_model: 0.369
steps: 382475, episodes: 15300, mean episode reward: -1357.583, reward: -29.801, time: 5.24, TD error: 19.264, c_model: 9.847, actorQ: 9.666, a_model: 0.368
steps: 384975, episodes: 15400, mean episode reward: -1259.447, reward: -25.853, time: 5.232, TD error: 19.216, c_model: 9.822, actorQ: 9.714, a_model: 0.366
steps: 387475, episodes: 15500, mean episode reward: -1208.737, reward: -23.316, time: 5.226, TD error: 19.17, c_model: 9.797, actorQ: 9.762, a_model: 0.365
steps: 389975, episodes: 15600, mean episode reward: -1191.116, reward: -23.183, time: 5.213, TD error: 19.118, c_model: 9.77, actorQ: 9.807, a_model: 0.363
steps: 392475, episodes: 15700, mean episode reward: -1227.354, reward: -24.734, time: 5.265, TD error: 19.053, c_model: 9.736, actorQ: 9.867, a_model: 0.361
steps: 394975, episodes: 15800, mean episode reward: -1337.067, reward: -28.921, time: 5.209, TD error: 19.007, c_model: 9.712, actorQ: 9.915, a_model: 0.36
steps: 397475, episodes: 15900, mean episode reward: -1398.418, reward: -31.999, time: 5.216, TD error: 18.959, c_model: 9.687, actorQ: 9.961, a_model: 0.358
steps: 399975, episodes: 16000, mean episode reward: -1413.356, reward: -34.457, time: 5.215, TD error: 18.905, c_model: 9.659, actorQ: 10.008, a_model: 0.357
steps: 402475, episodes: 16100, mean episode reward: -1475.628, reward: -36.631, time: 5.242, TD error: 18.857, c_model: 9.634, actorQ: 10.056, a_model: 0.355
steps: 404975, episodes: 16200, mean episode reward: -1485.612, reward: -36.546, time: 5.219, TD error: 18.81, c_model: 9.61, actorQ: 10.101, a_model: 0.354
steps: 407475, episodes: 16300, mean episode reward: -1459.195, reward: -36.885, time: 5.268, TD error: 18.746, c_model: 9.577, actorQ: 10.159, a_model: 0.352
steps: 409975, episodes: 16400, mean episode reward: -1406.631, reward: -36.984, time: 5.493, TD error: 18.694, c_model: 9.55, actorQ: 10.206, a_model: 0.351
steps: 412475, episodes: 16500, mean episode reward: -1514.463, reward: -39.062, time: 5.252, TD error: 18.647, c_model: 9.526, actorQ: 10.254, a_model: 0.349
steps: 414975, episodes: 16600, mean episode reward: -1497.016, reward: -38.556, time: 5.243, TD error: 18.596, c_model: 9.499, actorQ: 10.301, a_model: 0.348
steps: 417475, episodes: 16700, mean episode reward: -1447.52, reward: -37.757, time: 5.245, TD error: 18.551, c_model: 9.476, actorQ: 10.349, a_model: 0.347
steps: 419975, episodes: 16800, mean episode reward: -1504.599, reward: -38.862, time: 5.245, TD error: 18.501, c_model: 9.45, actorQ: 10.395, a_model: 0.345
steps: 422475, episodes: 16900, mean episode reward: -1525.218, reward: -39.096, time: 5.295, TD error: 18.439, c_model: 9.418, actorQ: 10.455, a_model: 0.344
steps: 424975, episodes: 17000, mean episode reward: -1527.698, reward: -39.292, time: 5.242, TD error: 18.391, c_model: 9.393, actorQ: 10.503, a_model: 0.342
steps: 427475, episodes: 17100, mean episode reward: -1460.65, reward: -38.081, time: 5.245, TD error: 18.344, c_model: 9.369, actorQ: 10.551, a_model: 0.341
steps: 429975, episodes: 17200, mean episode reward: -1390.986, reward: -36.275, time: 5.283, TD error: 18.297, c_model: 9.345, actorQ: 10.599, a_model: 0.34
steps: 432475, episodes: 17300, mean episode reward: -1350.031, reward: -35.355, time: 5.203, TD error: 18.247, c_model: 9.32, actorQ: 10.649, a_model: 0.339
steps: 434975, episodes: 17400, mean episode reward: -1428.846, reward: -36.961, time: 5.24, TD error: 18.2, c_model: 9.295, actorQ: 10.696, a_model: 0.337
